country,year,coal_production,coal_prod_per_capita,coal_prod_change_twh
Afghanistan,1982,0.842,83.446,0.116
Afghanistan,1983,0.842,84.593,0.0
Afghanistan,1984,0.859,83.88,0.017
Afghanistan,1985,0.877,83.394,0.017
Afghanistan,1986,0.929,88.904,0.052
Afghanistan,1987,0.97,93.924,0.041
Afghanistan,1988,0.801,77.16,-0.168
Afghanistan,1989,0.737,69.082,-0.064
Afghanistan,1990,0.61,56.999,-0.128
Afghanistan,1991,0.546,50.789,-0.064
Afghanistan,1992,0.046,3.852,-0.499
Afghanistan,1993,0.041,2.902,-0.006
Afghanistan,1994,0.035,2.254,-0.006
Afghanistan,1995,0.029,1.769,-0.006
Afghanistan,1996,0.017,1.019,-0.012
Afghanistan,1997,0.012,0.653,-0.006
Afghanistan,1998,0.012,0.628,0.0
Afghanistan,1999,0.006,0.302,-0.006
Afghanistan,2000,0.006,0.297,0.0
Afghanistan,2001,0.151,7.667,0.145
Afghanistan,2002,0.122,5.806,-0.029
Afghanistan,2003,0.203,8.973,0.081
Afghanistan,2004,0.197,8.381,-0.006
Afghanistan,2005,0.192,7.848,-0.006
Afghanistan,2006,0.203,7.986,0.012
Afghanistan,2007,1.411,54.464,1.208
Afghanistan,2008,2.015,76.231,0.604
Afghanistan,2009,2.903,106.0,0.888
Afghanistan,2010,4.209,149.315,1.306
Afghanistan,2011,8.592,293.767,4.383
Afghanistan,2012,7.199,236.294,-1.393
Afghanistan,2013,7.82,247.938,0.621
Afghanistan,2014,8.81,269.272,0.989
Afghanistan,2015,7.925,234.784,-0.885
Afghanistan,2016,9.858,284.617,1.933
Albania,1900,0.0,0.0,
Albania,1901,0.0,0.0,0.0
Albania,1902,0.0,0.0,0.0
Albania,1903,0.0,0.0,0.0
Albania,1904,0.0,0.0,0.0
Albania,1905,0.0,0.0,0.0
Albania,1906,0.0,0.0,0.0
Albania,1907,0.0,0.0,0.0
Albania,1908,0.0,0.0,0.0
Albania,1909,0.0,0.0,0.0
Albania,1910,0.0,0.0,0.0
Albania,1911,0.0,0.0,0.0
Albania,1912,0.0,0.0,0.0
Albania,1913,0.0,0.0,0.0
Albania,1914,0.0,0.0,0.0
Albania,1915,0.0,0.0,0.0
Albania,1916,0.0,0.0,0.0
Albania,1917,0.0,0.0,0.0
Albania,1918,0.0,0.0,0.0
Albania,1919,0.0,0.0,0.0
Albania,1920,0.0,0.0,0.0
Albania,1921,0.0,0.0,0.0
Albania,1922,0.0,0.0,0.0
Albania,1923,0.0,0.0,0.0
Albania,1924,0.0,0.0,0.0
Albania,1925,0.0,0.0,0.0
Albania,1926,0.0,0.0,0.0
Albania,1927,0.0,0.0,0.0
Albania,1928,0.0,0.0,0.0
Albania,1929,0.0,0.0,0.0
Albania,1930,0.0,0.0,0.0
Albania,1931,0.0,0.0,0.0
Albania,1932,0.0,0.0,0.0
Albania,1933,0.0,0.0,0.0
Albania,1934,0.0,0.0,0.0
Albania,1935,0.0,0.0,0.0
Albania,1936,0.0,0.0,0.0
Albania,1937,0.0,0.0,0.0
Albania,1938,0.0,0.0,0.0
Albania,1939,0.0,0.0,0.0
Albania,1940,0.0,0.0,0.0
Albania,1941,0.0,0.0,0.0
Albania,1942,0.0,0.0,0.0
Albania,1943,0.0,0.0,0.0
Albania,1944,0.0,0.0,0.0
Albania,1945,0.0,0.0,0.0
Albania,1946,0.065,55.099,0.065
Albania,1947,0.0,0.0,-0.065
Albania,1948,0.016,13.447,0.016
Albania,1949,0.0,0.0,-0.016
Albania,1950,0.167,133.237,0.167
Albania,1951,0.212,164.187,0.045
Albania,1952,0.322,242.336,0.11
Albania,1953,0.427,312.715,0.106
Albania,1954,0.607,430.447,0.179
Albania,1955,0.794,546.007,0.187
Albania,1956,0.912,607.608,0.118
Albania,1957,0.961,619.936,0.049
Albania,1958,1.042,650.879,0.081
Albania,1959,1.058,639.466,0.016
Albania,1960,1.185,692.218,0.126
Albania,1961,1.176,664.966,-0.008
Albania,1962,1.225,670.166,0.049
Albania,1963,1.026,543.221,-0.199
Albania,1964,1.189,609.838,0.163
Albania,1965,1.347,670.385,0.159
Albania,1966,1.604,774.512,0.256
Albania,1967,1.628,763.536,0.024
Albania,1968,1.767,804.654,0.138
Albania,1969,2.41,1066.351,0.643
Albania,1970,2.467,1061.078,0.057
Albania,1971,2.748,1149.705,0.281
Albania,1972,3.012,1226.863,0.265
Albania,1973,3.301,1309.761,0.289
Albania,1974,3.46,1338.226,0.159
Albania,1975,3.46,1305.569,0.0
Albania,1976,3.663,1350.051,0.204
Albania,1977,3.867,1393.606,0.204
Albania,1978,4.152,1465.388,0.285
Albania,1979,5.699,1972.712,1.547
Albania,1980,3.88,1319.153,-1.818
Albania,1981,4.214,1408.356,0.334
Albania,1982,4.652,1529.733,0.438
Albania,1983,5.063,1639.524,0.41
Albania,1984,5.501,1756.392,0.438
Albania,1985,5.884,1855.037,0.383
Albania,1986,5.93,1849.066,0.047
Albania,1987,5.84,1803.727,-0.09
Albania,1988,5.977,1831.652,0.137
Albania,1989,6.001,1828.459,0.025
Albania,1990,5.667,1719.984,-0.334
Albania,1991,2.975,900.846,-2.693
Albania,1992,1.002,303.169,-1.973
Albania,1993,0.586,177.425,-0.416
Albania,1994,0.462,140.402,-0.123
Albania,1995,0.219,66.657,-0.244
Albania,1996,0.309,94.529,0.09
Albania,1997,0.107,32.802,-0.203
Albania,1998,0.134,41.487,0.027
Albania,1999,0.134,41.796,0.0
Albania,2000,0.082,25.8,-0.052
Albania,2001,0.057,18.223,-0.025
Albania,2002,0.041,13.142,-0.016
Albania,2003,0.159,51.317,0.118
Albania,2004,0.159,51.825,0.0
Albania,2005,0.123,40.607,-0.036
Albania,2006,0.123,41.002,0.0
Albania,2007,0.123,41.379,0.0
Albania,2008,0.167,56.555,0.044
Albania,2009,0.027,9.339,-0.14
Albania,2010,0.027,9.394,0.0
Albania,2011,0.014,4.712,-0.014
Albania,2012,0.014,4.726,0.0
Albania,2013,0.008,2.845,-0.005
Albania,2014,0.0,0.0,-0.008
Albania,2015,0.0,0.0,0.0
Albania,2016,0.0,0.0,0.0
Algeria,1900,0.0,0.0,
Algeria,1901,0.0,0.0,0.0
Algeria,1902,0.0,0.0,0.0
Algeria,1903,0.0,0.0,0.0
Algeria,1904,0.0,0.0,0.0
Algeria,1905,0.0,0.0,0.0
Algeria,1906,0.0,0.0,0.0
Algeria,1907,0.0,0.0,0.0
Algeria,1908,0.0,0.0,0.0
Algeria,1909,0.0,0.0,0.0
Algeria,1910,0.0,0.0,0.0
Algeria,1911,0.0,0.0,0.0
Algeria,1912,0.0,0.0,0.0
Algeria,1913,0.0,0.0,0.0
Algeria,1914,0.0,0.0,0.0
Algeria,1915,0.0,0.0,0.0
Algeria,1916,0.0,0.0,0.0
Algeria,1917,0.016,2.838,0.016
Algeria,1918,0.047,8.146,0.031
Algeria,1919,0.052,8.958,0.005
Algeria,1920,0.055,9.427,0.003
Algeria,1921,0.073,12.425,0.018
Algeria,1922,0.073,12.303,0.0
Algeria,1923,0.033,5.408,-0.041
Algeria,1924,0.073,12.035,0.041
Algeria,1925,0.081,13.226,0.008
Algeria,1926,0.114,18.313,0.033
Algeria,1927,0.171,27.168,0.057
Algeria,1928,0.138,21.752,-0.033
Algeria,1929,0.13,20.222,-0.008
Algeria,1930,0.138,21.194,0.008
Algeria,1931,0.171,25.791,0.033
Algeria,1932,0.204,30.208,0.033
Algeria,1933,0.244,35.62,0.041
Algeria,1934,0.277,39.667,0.033
Algeria,1935,0.309,43.564,0.033
Algeria,1936,0.057,7.885,-0.252
Algeria,1937,0.114,15.497,0.057
Algeria,1938,0.106,14.14,-0.008
Algeria,1939,0.155,20.318,0.049
Algeria,1940,0.448,57.854,0.293
Algeria,1941,0.651,82.821,0.204
Algeria,1942,1.205,150.875,0.554
Algeria,1943,0.952,117.508,-0.252
Algeria,1944,0.977,118.737,0.024
Algeria,1945,1.319,157.922,0.342
Algeria,1946,1.75,206.486,0.431
Algeria,1947,1.677,194.914,-0.073
Algeria,1948,1.84,210.673,0.163
Algeria,1949,2.157,243.171,0.317
Algeria,1950,2.1,232.861,-0.057
Algeria,1951,2.011,216.877,-0.09
Algeria,1952,2.19,229.993,0.179
Algeria,1953,2.402,245.771,0.212
Algeria,1954,2.467,246.388,0.065
Algeria,1955,2.45,239.247,-0.016
Algeria,1956,2.418,230.864,-0.033
Algeria,1957,1.921,179.504,-0.497
Algeria,1958,1.246,113.92,-0.676
Algeria,1959,0.993,88.961,-0.252
Algeria,1960,0.969,85.023,-0.024
Algeria,1961,0.537,46.325,-0.431
Algeria,1962,0.431,36.633,-0.106
Algeria,1963,0.309,25.846,-0.122
Algeria,1964,0.374,30.748,0.065
Algeria,1965,0.366,29.589,-0.008
Algeria,1966,0.033,2.582,-0.334
Algeria,1967,0.138,10.731,0.106
Algeria,1968,0.0,0.0,-0.138
Algeria,1969,0.155,11.465,0.155
Algeria,1970,0.106,7.671,-0.049
Algeria,1971,0.114,8.077,0.008
Algeria,1972,0.098,6.765,-0.016
Algeria,1973,0.106,7.157,0.008
Algeria,1974,0.106,6.984,0.0
Algeria,1975,0.098,6.213,-0.008
Algeria,1976,0.065,3.947,-0.033
Algeria,1977,0.049,2.851,-0.016
Algeria,1978,0.041,2.309,-0.008
Algeria,1979,0.041,2.241,0.0
Algeria,1980,0.055,2.947,0.015
Algeria,1981,0.055,2.854,0.0
Algeria,1982,0.055,2.762,0.0
Algeria,1983,0.055,2.671,0.0
Algeria,1984,0.055,2.582,0.0
Algeria,1985,0.063,2.852,0.008
Algeria,1986,0.071,3.103,0.008
Algeria,1987,0.063,2.676,-0.008
Algeria,1988,0.079,3.255,0.016
Algeria,1989,0.118,4.755,0.039
Algeria,1990,0.079,3.092,-0.039
Algeria,1991,0.118,4.529,0.039
Algeria,1992,0.118,4.425,0.0
Algeria,1993,0.158,5.769,0.039
Algeria,1994,0.158,5.649,0.0
Algeria,1995,0.179,6.295,0.021
Algeria,1996,0.098,3.373,-0.081
Algeria,1997,0.083,2.805,-0.015
Algeria,1998,0.06,2.009,-0.023
Algeria,1999,0.038,1.238,-0.023
Algeria,2000,0.0,0.0,-0.038
Algeria,2001,0.0,0.0,0.0
Algeria,2002,0.0,0.0,0.0
Algeria,2003,0.0,0.0,0.0
Algeria,2004,0.0,0.0,0.0
Algeria,2005,0.0,0.0,0.0
Algeria,2006,0.0,0.0,0.0
Algeria,2007,0.0,0.0,0.0
Algeria,2008,0.0,0.0,0.0
Algeria,2009,0.0,0.0,0.0
Algeria,2010,0.0,0.0,0.0
Algeria,2011,0.0,0.0,0.0
Algeria,2012,0.0,0.0,0.0
Algeria,2013,0.0,0.0,0.0
Algeria,2014,0.0,0.0,0.0
Algeria,2015,0.0,0.0,0.0
Algeria,2016,0.0,0.0,0.0
American Samoa,1980,0.0,0.0,
American Samoa,1981,0.0,0.0,0.0
American Samoa,1982,0.0,0.0,0.0
American Samoa,1983,0.0,0.0,0.0
American Samoa,1984,0.0,0.0,0.0
American Samoa,1985,0.0,0.0,0.0
American Samoa,1986,0.0,0.0,0.0
American Samoa,1987,0.0,0.0,0.0
American Samoa,1988,0.0,0.0,0.0
American Samoa,1989,0.0,0.0,0.0
American Samoa,1990,0.0,0.0,0.0
American Samoa,1991,0.0,0.0,0.0
American Samoa,1992,0.0,0.0,0.0
American Samoa,1993,0.0,0.0,0.0
American Samoa,1994,0.0,0.0,0.0
American Samoa,1995,0.0,0.0,0.0
American Samoa,1996,0.0,0.0,0.0
American Samoa,1997,0.0,0.0,0.0
American Samoa,1998,0.0,0.0,0.0
American Samoa,1999,0.0,0.0,0.0
American Samoa,2000,0.0,0.0,0.0
American Samoa,2001,0.0,0.0,0.0
American Samoa,2002,0.0,0.0,0.0
American Samoa,2003,0.0,0.0,0.0
American Samoa,2004,0.0,0.0,0.0
American Samoa,2005,0.0,0.0,0.0
American Samoa,2006,0.0,0.0,0.0
American Samoa,2007,0.0,0.0,0.0
American Samoa,2008,0.0,0.0,0.0
American Samoa,2009,0.0,0.0,0.0
American Samoa,2010,0.0,0.0,0.0
American Samoa,2011,0.0,0.0,0.0
American Samoa,2012,0.0,0.0,0.0
American Samoa,2013,0.0,0.0,0.0
American Samoa,2014,0.0,0.0,0.0
American Samoa,2015,0.0,0.0,0.0
American Samoa,2016,0.0,0.0,0.0
Angola,1980,0.0,0.0,
Angola,1981,0.0,0.0,0.0
Angola,1982,0.0,0.0,0.0
Angola,1983,0.0,0.0,0.0
Angola,1984,0.0,0.0,0.0
Angola,1985,0.0,0.0,0.0
Angola,1986,0.0,0.0,0.0
Angola,1987,0.0,0.0,0.0
Angola,1988,0.0,0.0,0.0
Angola,1989,0.0,0.0,0.0
Angola,1990,0.0,0.0,0.0
Angola,1991,0.0,0.0,0.0
Angola,1992,0.0,0.0,0.0
Angola,1993,0.0,0.0,0.0
Angola,1994,0.0,0.0,0.0
Angola,1995,0.0,0.0,0.0
Angola,1996,0.0,0.0,0.0
Angola,1997,0.0,0.0,0.0
Angola,1998,0.0,0.0,0.0
Angola,1999,0.0,0.0,0.0
Angola,2000,0.0,0.0,0.0
Angola,2001,0.0,0.0,0.0
Angola,2002,0.0,0.0,0.0
Angola,2003,0.0,0.0,0.0
Angola,2004,0.0,0.0,0.0
Angola,2005,0.0,0.0,0.0
Angola,2006,0.0,0.0,0.0
Angola,2007,0.0,0.0,0.0
Angola,2008,0.0,0.0,0.0
Angola,2009,0.0,0.0,0.0
Angola,2010,0.0,0.0,0.0
Angola,2011,0.0,0.0,0.0
Angola,2012,0.0,0.0,0.0
Angola,2013,0.0,0.0,0.0
Angola,2014,0.0,0.0,0.0
Angola,2015,0.0,0.0,0.0
Angola,2016,0.0,0.0,0.0
Antigua and Barbuda,1980,0.0,0.0,
Antigua and Barbuda,1981,0.0,0.0,0.0
Antigua and Barbuda,1982,0.0,0.0,0.0
Antigua and Barbuda,1983,0.0,0.0,0.0
Antigua and Barbuda,1984,0.0,0.0,0.0
Antigua and Barbuda,1985,0.0,0.0,0.0
Antigua and Barbuda,1986,0.0,0.0,0.0
Antigua and Barbuda,1987,0.0,0.0,0.0
Antigua and Barbuda,1988,0.0,0.0,0.0
Antigua and Barbuda,1989,0.0,0.0,0.0
Antigua and Barbuda,1990,0.0,0.0,0.0
Antigua and Barbuda,1991,0.0,0.0,0.0
Antigua and Barbuda,1992,0.0,0.0,0.0
Antigua and Barbuda,1993,0.0,0.0,0.0
Antigua and Barbuda,1994,0.0,0.0,0.0
Antigua and Barbuda,1995,0.0,0.0,0.0
Antigua and Barbuda,1996,0.0,0.0,0.0
Antigua and Barbuda,1997,0.0,0.0,0.0
Antigua and Barbuda,1998,0.0,0.0,0.0
Antigua and Barbuda,1999,0.0,0.0,0.0
Antigua and Barbuda,2000,0.0,0.0,0.0
Antigua and Barbuda,2001,0.0,0.0,0.0
Antigua and Barbuda,2002,0.0,0.0,0.0
Antigua and Barbuda,2003,0.0,0.0,0.0
Antigua and Barbuda,2004,0.0,0.0,0.0
Antigua and Barbuda,2005,0.0,0.0,0.0
Antigua and Barbuda,2006,0.0,0.0,0.0
Antigua and Barbuda,2007,0.0,0.0,0.0
Antigua and Barbuda,2008,0.0,0.0,0.0
Antigua and Barbuda,2009,0.0,0.0,0.0
Antigua and Barbuda,2010,0.0,0.0,0.0
Antigua and Barbuda,2011,0.0,0.0,0.0
Antigua and Barbuda,2012,0.0,0.0,0.0
Antigua and Barbuda,2013,0.0,0.0,0.0
Antigua and Barbuda,2014,0.0,0.0,0.0
Antigua and Barbuda,2015,0.0,0.0,0.0
Antigua and Barbuda,2016,0.0,0.0,0.0
Argentina,1900,0.0,0.0,
Argentina,1901,0.0,0.0,0.0
Argentina,1902,0.0,0.0,0.0
Argentina,1903,0.0,0.0,0.0
Argentina,1904,0.0,0.0,0.0
Argentina,1905,0.0,0.0,0.0
Argentina,1906,0.0,0.0,0.0
Argentina,1907,0.0,0.0,0.0
Argentina,1908,0.0,0.0,0.0
Argentina,1909,0.0,0.0,0.0
Argentina,1910,0.0,0.0,0.0
Argentina,1911,0.0,0.0,0.0
Argentina,1912,0.0,0.0,0.0
Argentina,1913,0.0,0.0,0.0
Argentina,1914,0.0,0.0,0.0
Argentina,1915,0.0,0.0,0.0
Argentina,1916,0.0,0.0,0.0
Argentina,1917,0.0,0.0,0.0
Argentina,1918,0.0,0.0,0.0
Argentina,1919,0.0,0.0,0.0
Argentina,1920,0.0,0.0,0.0
Argentina,1921,0.0,0.0,0.0
Argentina,1922,0.0,0.0,0.0
Argentina,1923,0.0,0.0,0.0
Argentina,1924,0.0,0.0,0.0
Argentina,1925,0.0,0.0,0.0
Argentina,1926,0.0,0.0,0.0
Argentina,1927,0.0,0.0,0.0
Argentina,1928,0.0,0.0,0.0
Argentina,1929,0.0,0.0,0.0
Argentina,1930,0.0,0.0,0.0
Argentina,1931,0.0,0.0,0.0
Argentina,1932,0.0,0.0,0.0
Argentina,1933,0.0,0.0,0.0
Argentina,1934,0.0,0.0,0.0
Argentina,1935,0.0,0.0,0.0
Argentina,1936,0.0,0.0,0.0
Argentina,1937,0.0,0.0,0.0
Argentina,1938,0.0,0.0,0.0
Argentina,1939,0.007,0.496,0.007
Argentina,1940,0.007,0.487,0.0
Argentina,1941,0.007,0.479,0.0
Argentina,1942,0.027,1.879,0.021
Argentina,1943,0.062,4.147,0.034
Argentina,1944,0.034,2.26,-0.027
Argentina,1945,0.021,1.33,-0.014
Argentina,1946,0.021,1.305,0.0
Argentina,1947,0.096,5.976,0.075
Argentina,1948,0.124,7.538,0.027
Argentina,1949,0.124,7.397,0.0
Argentina,1950,0.178,10.485,0.055
Argentina,1951,0.275,15.818,0.096
Argentina,1952,0.769,43.441,0.494
Argentina,1953,0.57,31.588,-0.199
Argentina,1954,0.638,34.745,0.069
Argentina,1955,0.933,49.91,0.295
Argentina,1956,1.112,58.419,0.178
Argentina,1957,1.585,81.87,0.474
Argentina,1958,1.791,90.946,0.206
Argentina,1959,2.066,103.16,0.275
Argentina,1960,1.86,91.394,-0.206
Argentina,1961,2.333,112.829,0.474
Argentina,1962,1.963,93.375,-0.371
Argentina,1963,1.421,66.496,-0.542
Argentina,1964,2.278,104.958,0.858
Argentina,1965,2.567,116.385,0.288
Argentina,1966,2.45,109.362,-0.117
Argentina,1967,2.779,122.136,0.329
Argentina,1968,3.239,140.149,0.46
Argentina,1969,3.521,149.993,0.281
Argentina,1970,4.228,177.308,0.707
Argentina,1971,4.337,179.055,0.11
Argentina,1972,4.763,193.51,0.425
Argentina,1973,3.109,124.253,-1.654
Argentina,1974,4.296,168.809,1.187
Argentina,1975,3.445,133.143,-0.851
Argentina,1976,4.221,160.541,0.776
Argentina,1977,3.658,136.93,-0.563
Argentina,1978,2.978,109.72,-0.679
Argentina,1979,4.989,180.876,2.011
Argentina,1980,2.562,91.425,-2.427
Argentina,1981,3.272,114.912,0.71
Argentina,1982,3.383,116.98,0.112
Argentina,1983,3.193,108.685,-0.191
Argentina,1984,3.344,112.092,0.151
Argentina,1985,2.628,86.765,-0.716
Argentina,1986,2.391,77.772,-0.237
Argentina,1987,2.45,78.5,0.059
Argentina,1988,3.364,106.14,0.913
Argentina,1989,3.377,104.981,0.013
Argentina,1990,1.813,55.556,-1.564
Argentina,1991,1.918,57.946,0.105
Argentina,1992,1.327,39.534,-0.591
Argentina,1993,1.104,32.436,-0.223
Argentina,1994,2.28,66.099,1.176
Argentina,1995,2.004,57.338,-0.276
Argentina,1996,2.037,57.548,0.033
Argentina,1997,1.649,46.041,-0.388
Argentina,1998,1.905,52.582,0.256
Argentina,1999,2.207,60.224,0.302
Argentina,2000,1.702,45.9,-0.506
Argentina,2001,1.222,32.603,-0.48
Argentina,2002,0.302,7.977,-0.92
Argentina,2003,0.585,15.275,0.282
Argentina,2004,0.335,8.665,-0.25
Argentina,2005,0.164,4.204,-0.171
Argentina,2006,0.926,23.465,0.762
Argentina,2007,0.723,18.123,-0.204
Argentina,2008,1.058,26.263,0.335
Argentina,2009,0.539,13.241,-0.519
Argentina,2010,0.427,10.39,-0.112
Argentina,2011,0.591,14.24,0.164
Argentina,2012,0.624,14.877,0.033
Argentina,2013,0.545,12.864,-0.079
Argentina,2014,0.374,8.744,-0.171
Argentina,2015,0.223,5.164,-0.151
Argentina,2016,0.166,3.808,-0.057
Armenia,1992,0.0,0.0,
Armenia,1993,0.0,0.0,0.0
Armenia,1994,0.0,0.0,0.0
Armenia,1995,0.0,0.0,0.0
Armenia,1996,0.0,0.0,0.0
Armenia,1997,0.0,0.0,0.0
Armenia,1998,0.0,0.0,0.0
Armenia,1999,0.0,0.0,0.0
Armenia,2000,0.0,0.0,0.0
Armenia,2001,0.0,0.0,0.0
Armenia,2002,0.0,0.0,0.0
Armenia,2003,0.0,0.0,0.0
Armenia,2004,0.0,0.0,0.0
Armenia,2005,0.0,0.0,0.0
Armenia,2006,0.0,0.0,0.0
Armenia,2007,0.0,0.0,0.0
Armenia,2008,0.0,0.0,0.0
Armenia,2009,0.0,0.0,0.0
Armenia,2010,0.0,0.0,0.0
Armenia,2011,0.0,0.0,0.0
Armenia,2012,0.0,0.0,0.0
Armenia,2013,0.0,0.0,0.0
Armenia,2014,0.0,0.0,0.0
Armenia,2015,0.0,0.0,0.0
Armenia,2016,0.0,0.0,0.0
Aruba,1986,0.0,0.0,
Aruba,1987,0.0,0.0,0.0
Aruba,1988,0.0,0.0,0.0
Aruba,1989,0.0,0.0,0.0
Aruba,1990,0.0,0.0,0.0
Aruba,1991,0.0,0.0,0.0
Aruba,1992,0.0,0.0,0.0
Aruba,1993,0.0,0.0,0.0
Aruba,1994,0.0,0.0,0.0
Aruba,1995,0.0,0.0,0.0
Aruba,1996,0.0,0.0,0.0
Aruba,1997,0.0,0.0,0.0
Aruba,1998,0.0,0.0,0.0
Aruba,1999,0.0,0.0,0.0
Aruba,2000,0.0,0.0,0.0
Aruba,2001,0.0,0.0,0.0
Aruba,2002,0.0,0.0,0.0
Aruba,2003,0.0,0.0,0.0
Aruba,2004,0.0,0.0,0.0
Aruba,2005,0.0,0.0,0.0
Aruba,2006,0.0,0.0,0.0
Aruba,2007,0.0,0.0,0.0
Aruba,2008,0.0,0.0,0.0
Aruba,2009,0.0,0.0,0.0
Aruba,2010,0.0,0.0,0.0
Aruba,2011,0.0,0.0,0.0
Aruba,2012,0.0,0.0,0.0
Aruba,2013,0.0,0.0,0.0
Aruba,2014,0.0,0.0,0.0
Aruba,2015,0.0,0.0,0.0
Aruba,2016,0.0,0.0,0.0
Australia,1900,42.519,11512.41,
Australia,1901,45.842,12208.151,3.323
Australia,1902,45.678,11971.547,-0.164
Australia,1903,47.356,12221.255,1.678
Australia,1904,45.639,11597.835,-1.717
Australia,1905,49.905,12487.871,4.266
Australia,1906,57.238,14103.668,7.333
Australia,1907,64.46,15640.041,7.222
Australia,1908,67.875,16216.376,3.414
Australia,1909,54.506,12810.702,-13.369
Australia,1910,64.834,14976.566,10.328
Australia,1911,70.267,15938.092,5.433
Australia,1912,78.105,17379.863,7.838
Australia,1913,82.666,18029.887,4.561
Australia,1914,82.849,17711.406,0.184
Australia,1915,75.994,15923.651,-6.855
Australia,1916,65.327,13416.788,-10.668
Australia,1917,68.003,13689.448,2.677
Australia,1918,72.754,14351.833,4.75
Australia,1919,70.207,13575.673,-2.546
Australia,1920,85.69,16246.519,15.482
Australia,1921,85.423,15884.82,-0.267
Australia,1922,81.533,14874.351,-3.89
Australia,1923,83.655,14976.637,2.122
Australia,1924,91.945,16153.562,8.29
Australia,1925,93.05,16042.447,1.104
Australia,1926,90.913,15381.416,-2.137
Australia,1927,93.871,15585.476,2.958
Australia,1928,83.025,13527.354,-10.846
Australia,1929,73.593,11791.999,-9.432
Australia,1930,68.281,10782.241,-5.312
Australia,1931,61.71,9622.997,-6.572
Australia,1932,64.044,9882.473,2.334
Australia,1933,67.326,10301.072,3.282
Australia,1934,70.669,10721.325,3.344
Australia,1935,78.344,11785.236,7.675
Australia,1936,83.713,12486.433,5.369
Australia,1937,89.323,13210.612,5.61
Australia,1938,87.671,12856.648,-1.652
